Model,Feature,Importance
RandomForest,PSCA,0.01286183968428027
RandomForest,MaxCH,0.011772975021785892
RandomForest,AvgA,0.010623148126143362
RandomForest,AvgCA,0.010556548161743977
RandomForest,B365CA,0.01034164140754812
RandomForest,away_away_foul_to_card_ratio_last5,0.010247775587233974
RandomForest,AvgCH,0.010192003587130363
RandomForest,MaxCA,0.010173090943530208
RandomForest,VCH,0.009780578861895897
RandomForest,away_away_foul_to_card_ratio_last10,0.009636384394902565
RandomForest,home_home_goal_conversion_last5,0.009561180467875534
RandomForest,home_home_st_ratio_last5,0.009547052423566451
RandomForest,MaxH,0.009150219358170683
RandomForest,away_away_st_ratio_last3,0.009148969779276634
RandomForest,away_away_foul_to_card_ratio_last3,0.009106065872898281
RandomForest,home_home_foul_to_card_ratio_last10,0.009000337051183928
RandomForest,away_away_goal_conversion_last5,0.00873977363269489
RandomForest,home_home_st_ratio_last3,0.00873441195338254
RandomForest,home_home_goal_conversion_last10,0.008496530535807015
RandomForest,PSCH,0.008311359191865767
LogisticRegression,away_AF_last1,0.07222779803552339
LogisticRegression,AHCh,0.06755269559982217
LogisticRegression,away_AR_last1,0.06070570942515782
LogisticRegression,PCAHA,0.05425750777112268
LogisticRegression,away_away_foul_to_card_ratio_last3,0.0510882193713314
LogisticRegression,AHh,0.04743779076458716
LogisticRegression,away_AC_last10,0.04445626126575546
LogisticRegression,away_AC_last1,0.042767373331139606
LogisticRegression,HomeTeam_Newcastle,0.042134127819057975
LogisticRegression,HomeTeam_Tottenham,0.04140595335113203
LogisticRegression,away_away_st_ratio_last10,0.04123395264689758
LogisticRegression,away_AF_last10,0.039713964873636515
LogisticRegression,away_AY_last3,0.03967712881213404
LogisticRegression,MaxCAHH,0.03955560859009896
LogisticRegression,away_away_foul_to_card_ratio_last5,0.03929428268241535
LogisticRegression,home_HF_last10,0.03838292767381766
LogisticRegression,B365AHA,0.03628897909553268
LogisticRegression,away_away_st_ratio_last5,0.03605684728795968
LogisticRegression,home_HY_last3,0.03590344928683004
LogisticRegression,BWH,0.03514730238947281
XGBoost,PSCH,0.05563494190573692
XGBoost,VCCH,0.04474468156695366
XGBoost,MaxCH,0.026040714234113693
XGBoost,AvgCA,0.01422164123505354
XGBoost,WHCH,0.013505440205335617
XGBoost,MaxH,0.012999869883060455
XGBoost,HomeTeam_Bournemouth,0.01113523542881012
XGBoost,WHH,0.00989515520632267
XGBoost,MaxCD,0.00980379432439804
XGBoost,B365D,0.009706228971481323
XGBoost,WHCA,0.009264925494790077
XGBoost,AvgH,0.008895521983504295
XGBoost,HomeTeam_Crystal Palace,0.008640756830573082
XGBoost,AwayTeam_Liverpool,0.008617033250629902
XGBoost,HomeTeam_Everton,0.00832354836165905
XGBoost,WHD,0.00799608789384365
XGBoost,AwayTeam_Leicester,0.007953627035021782
XGBoost,Max>2.5,0.007416676729917526
XGBoost,BWCA,0.007377123460173607
XGBoost,MaxCA,0.007024026941508055
LightGBM,away_away_goal_conversion_last5,74.0
LightGBM,away_away_foul_to_card_ratio_last3,65.0
LightGBM,home_home_foul_to_card_ratio_last10,50.0
LightGBM,away_away_goal_conversion_last3,46.0
LightGBM,home_home_st_ratio_last3,43.0
LightGBM,away_away_st_ratio_last10,42.0
LightGBM,away_away_foul_to_card_ratio_last10,42.0
LightGBM,home_home_goal_conversion_last10,41.0
LightGBM,away_AC_last10,41.0
LightGBM,away_away_foul_to_card_ratio_last5,41.0
LightGBM,home_HC_last10,40.0
LightGBM,away_AF_last10,40.0
LightGBM,home_home_goal_conversion_last5,40.0
LightGBM,away_away_st_ratio_last1,37.0
LightGBM,home_home_foul_to_card_ratio_last5,36.0
LightGBM,home_home_st_ratio_last10,36.0
LightGBM,home_HF_last3,35.0
LightGBM,home_HS_last1,35.0
LightGBM,home_home_st_ratio_last5,35.0
LightGBM,home_HF_last10,32.0
CatBoost,home_home_goal_conversion_last1,1.8803542976640049
CatBoost,home_home_foul_to_card_ratio_last1,1.7287636013897483
CatBoost,home_home_foul_to_card_ratio_last10,1.7177025395983754
CatBoost,home_home_foul_to_card_ratio_last5,1.69895700915559
CatBoost,away_away_foul_to_card_ratio_last10,1.5513897538554162
CatBoost,home_HF_last10,1.5417688213223306
CatBoost,away_AST_last1,1.3905414270603256
CatBoost,home_HC_last10,1.353367684091776
CatBoost,home_home_goal_conversion_last5,1.3092003414682813
CatBoost,away_away_foul_to_card_ratio_last1,1.3087530139476204
CatBoost,away_away_goal_conversion_last3,1.2919556195770736
CatBoost,home_home_st_ratio_last1,1.2784458442569362
CatBoost,B365AHA,1.2618789990436217
CatBoost,away_away_st_ratio_last5,1.2615909306802229
CatBoost,PAHH,1.2615795898086253
CatBoost,away_away_st_ratio_last3,1.2556630041989751
CatBoost,away_AF_last1,1.2112915628322132
CatBoost,away_AF_last10,1.1849588970382683
CatBoost,away_away_foul_to_card_ratio_last3,1.1770434130973202
CatBoost,home_home_goal_conversion_last3,1.125363913377286
