Strategy,Model,Bets Placed,Win %,Total Staked,Net Profit,ROI,Sharpe,Max Drawdown
Flat,RandomForest_Prediction,449,54.78841870824054,449.0,3.990000000000009,0.03990000000000009,0.40756198085421463,0.17023959646910497
Flat,LogisticRegression_Prediction,449,51.44766146993318,449.0,-24.919999999999987,-0.24919999999999987,-1.0655299127741933,0.3535926055109872
Flat,XGBoost_Prediction,449,50.11135857461024,449.0,-20.759999999999934,-0.20759999999999934,-0.670171729125375,0.31986069104573345
Flat,SVM_Prediction,449,49.220489977728285,449.0,-37.91999999999999,-0.37919999999999987,-1.6399513316143937,0.39587388088750475
Flat,KNN_Prediction,449,50.779510022271715,449.0,-12.739999999999938,-0.12739999999999937,-0.37630242495329025,0.20499271137026187
Flat,NaiveBayes_Prediction,449,45.87973273942094,449.0,-36.47,-0.36469999999999997,-1.2083065208057433,0.5800484094052558
Flat,LightGBM_Prediction,449,49.44320712694877,449.0,-12.47999999999999,-0.1247999999999999,-0.33195709279549296,0.2407627041328347
Flat,CatBoost_Prediction,449,51.89309576837417,449.0,-32.47999999999999,-0.3247999999999999,-1.3998201325574364,0.31486555048198883
Flat,Voting_Prediction,449,51.00222717149221,449.0,-29.289999999999935,-0.2928999999999993,-1.180776154296541,0.3844146495095828
Threshold,RandomForest_Prediction,141,66.66666666666666,141.0,-6.90999999999994,-0.0690999999999994,-0.6316025350459527,0.12451800996896431
Threshold,LogisticRegression_Prediction,136,63.970588235294116,136.0,-13.729999999999947,-0.13729999999999948,-1.5592752768634124,0.17016160061562116
Threshold,XGBoost_Prediction,303,56.43564356435643,303.0,-16.74999999999993,-0.1674999999999993,-0.8994320168003046,0.2193366404046298
Threshold,SVM_Prediction,38,52.63157894736842,38.0,-9.889999999999972,-0.09889999999999972,-2.10565360707526,0.09889999999999972
Threshold,KNN_Prediction,149,59.06040268456376,149.0,-18.489999999999966,-0.18489999999999968,-1.722014328230136,0.20841021656793218
Threshold,NaiveBayes_Prediction,433,46.88221709006928,433.0,-30.179999999999993,-0.3017999999999999,-1.1450847971815985,0.5195296094078117
Threshold,LightGBM_Prediction,261,54.406130268199234,261.0,-19.510000000000005,-0.19510000000000005,-1.200277130318378,0.2452973589207678
Threshold,CatBoost_Prediction,142,63.38028169014085,142.0,-12.280000000000001,-0.1228,-1.1392785261025542,0.19385522686198037
Threshold,Voting_Prediction,183,62.841530054644814,183.0,-16.369999999999976,-0.16369999999999976,-1.482588729050218,0.19733179767732015
Value,RandomForest_Prediction,160,54.37499999999999,160.0,18.470000000000013,0.18470000000000014,1.4820935327755618,0.06787173025115148
Value,LogisticRegression_Prediction,173,41.61849710982659,173.0,-18.269999999999982,-0.1826999999999998,-1.2567071117352364,0.2623204218948899
Value,XGBoost_Prediction,411,48.9051094890511,411.0,-22.109999999999943,-0.22109999999999944,-0.7591909446533756,0.3226661790253267
Value,SVM_Prediction,170,36.470588235294116,170.0,-11.660000000000025,-0.11660000000000025,-0.5901661152679444,0.1256528726396145
Value,KNN_Prediction,264,44.696969696969695,264.0,-4.519999999999982,-0.04519999999999982,-0.08844012971526433,0.1553275737940964
Value,NaiveBayes_Prediction,446,45.964125560538115,446.0,-34.95,-0.34950000000000003,-1.1600967965140419,0.5669087136929462
Value,LightGBM_Prediction,366,47.26775956284153,366.0,-8.610000000000042,-0.08610000000000043,-0.2546195777185123,0.20141804272786668
Value,CatBoost_Prediction,186,47.31182795698925,186.0,-11.500000000000028,-0.11500000000000028,-0.601602356750105,0.13561368209255537
Value,Voting_Prediction,273,45.78754578754579,273.0,-22.659999999999982,-0.22659999999999983,-1.1406424357465694,0.32829707836534067
Kelly,RandomForest_Prediction,160,54.37499999999999,602.4058702300691,42.321081543676144,0.4232108154367614,1.051136008091716,0.4086889724898448
Kelly,LogisticRegression_Prediction,173,41.61849710982659,610.7696526076811,-56.38136915231716,-0.5638136915231716,-0.31868560102449367,0.7143906179835402
Kelly,XGBoost_Prediction,411,48.9051094890511,1551.0989756905346,-99.88811138954082,-0.9988811138954082,-0.5644595024259688,0.9990824015174632
Kelly,SVM_Prediction,170,36.470588235294116,416.68660863660983,-80.74835282123325,-0.8074835282123325,-0.9030872138359795,0.8001769198985671
Kelly,KNN_Prediction,264,44.696969696969695,1197.6208936277603,-89.44839466077828,-0.8944839466077827,-0.5728977008800941,0.9557324183486837
Kelly,NaiveBayes_Prediction,265,46.0377358490566,718.8858004339928,-100.0,-1.0,-2.309880530183074,1.0
Kelly,LightGBM_Prediction,366,47.26775956284153,1308.4251967909506,-99.12343887070233,-0.9912343887070233,-0.35085296518112696,0.9934292111731622
Kelly,CatBoost_Prediction,186,47.31182795698925,510.1018887687216,-66.32706248416976,-0.6632706248416976,-0.9770650602610822,0.7507089107975025
Kelly,Voting_Prediction,273,45.78754578754579,1102.1650214361598,-62.558766947552655,-0.6255876694755266,-0.4184376087016843,0.8219492887232227
