Model,Accuracy,Precision,Recall,F1,AUC,Brier
RandomForest,0.5413870246085011,0.420397398725572,0.4732257962472087,0.42730637735643456,0.6718970587468528,0.5816870945594527
LogisticRegression,0.5302013422818792,0.44467034778003683,0.4617354135276766,0.41816758444778185,0.6561908639766609,0.5932873177624188
XGBoost,0.5033557046979866,0.427409012459997,0.44701081480922955,0.42232489708830406,0.6489818346759435,0.6633387910717453
SVM,0.5346756152125279,0.3612975391498881,0.46109797375620154,0.3976882012305465,0.6299297666685676,0.6042410963071968
KNN,0.5212527964205816,0.44412734254671155,0.45464405857165824,0.42183353734892287,0.6315501790484211,0.6165365475049079
NaiveBayes,0.4608501118568233,0.44151450401450404,0.4374383847943531,0.4375415834996674,0.6372065309140332,1.0102996749375732
LightGBM,0.49217002237136465,0.4248944262313246,0.44014262877388394,0.4221554867978456,0.6428747704478602,0.6597222399459053
CatBoost,0.5637583892617449,0.5484848484848485,0.4912626117523787,0.43800440435912175,0.6700089746522857,0.5811249501559649
Dummy,0.407158836689038,0.13571961222967935,0.3333333333333333,0.19289878113407524,0.5,1.1856823266219239
Voting,0.5212527964205816,0.44625861266739325,0.46316109459372207,0.4332973121132233,0.6588654752035267,0.5913364404378393
